,MiTFg,NGFR,Sox10,AXL,timepoint_id,Timepoint,drug_id,Drugs,dose_id,Doses,Rep
249,3.809230103,3.138902079,3.690262737,3.933618973,1,0.5 h,1,Vem,1,0 uM,1
250,3.609043343,2.952497592,3.412142984,3.385944844,1,0.5 h,1,Vem,1,0 uM,1
251,3.77584612,2.722982763,3.74352902,3.5690601,1,0.5 h,1,Vem,1,0 uM,1
252,3.781530847,3.228208278,3.692482594,3.517359469,1,0.5 h,1,Vem,1,0 uM,1
253,3.646968545,2.968766036,3.82474926,3.6352151,1,0.5 h,1,Vem,1,0 uM,1
254,3.518165327,2.873974141,3.716234527,3.556764794,1,0.5 h,1,Vem,1,0 uM,1
255,3.595792665,3.16321395,3.550979508,3.763478732,1,0.5 h,1,Vem,1,0 uM,1
256,3.588598433,2.834488428,3.627762074,3.560831886,1,0.5 h,1,Vem,1,0 uM,1
257,3.91359597,2.974026643,3.521313106,3.739398786,1,0.5 h,1,Vem,1,0 uM,1
258,4.057879978,3.001000963,3.651712529,3.493889589,1,0.5 h,1,Vem,1,0 uM,1
259,3.343542534,3.037185723,3.622346474,3.890485393,1,0.5 h,1,Vem,1,0 uM,1
260,3.528367094,3.100115318,3.686274358,3.710547647,1,0.5 h,1,Vem,1,0 uM,1
261,3.638085333,2.980540768,3.514606998,3.414187537,1,0.5 h,1,Vem,1,0 uM,1
262,3.313462204,2.821809335,3.536024363,3.365206175,1,0.5 h,1,Vem,1,0 uM,1
263,3.760589633,2.9312081,3.710338731,3.339475612,1,0.5 h,1,Vem,1,0 uM,1
264,3.192335955,3.025315173,3.514390262,3.739164516,1,0.5 h,1,Vem,1,0 uM,1
265,4.053370172,3.263993122,3.548916861,3.361767614,1,0.5 h,1,Vem,1,0 uM,1
266,3.640510108,3.02000484,3.606324307,3.767963521,1,0.5 h,1,Vem,1,0 uM,1
267,3.356893412,2.928705188,3.489508457,3.758082665,1,0.5 h,1,Vem,1,0 uM,1
268,3.894867647,3.070824121,3.787487673,3.5376118,1,0.5 h,1,Vem,1,0 uM,1
269,3.623083942,2.837437838,3.800903958,3.353120026,1,0.5 h,1,Vem,1,0 uM,1
270,3.743809276,2.954478683,3.786518304,3.619148592,1,0.5 h,1,Vem,1,0 uM,1
271,3.718293507,3.139700757,3.678974007,3.76514472,1,0.5 h,1,Vem,1,0 uM,1
272,3.938007392,2.839610297,3.815957695,3.168381877,1,0.5 h,1,Vem,1,0 uM,1
273,3.720286601,2.983887139,3.591979758,3.432055831,1,0.5 h,1,Vem,1,0 uM,1
274,3.432017592,3.041697413,3.479117001,3.871421994,1,0.5 h,1,Vem,1,0 uM,1
275,4.202240361,3.28469752,4.034491604,3.57869116,1,0.5 h,1,Vem,1,0 uM,1
276,3.871811566,3.213980742,3.652076793,3.685971643,1,0.5 h,1,Vem,1,0 uM,1
277,3.928290559,2.947966327,3.713028122,3.355327972,1,0.5 h,1,Vem,1,0 uM,1
278,4.046297462,3.228100333,3.899834109,3.637267743,1,0.5 h,1,Vem,1,0 uM,1
